ProductID,Category,SubCategory,ProductName,CostPrice,SellingPrice
PROD0001,Office Supplies,Paper,"Shenoy, Dubey and Dara Paper",6300.38,10456.26
PROD0002,Office Supplies,Paper,"Srinivas, Deo and Krish Paper",13969.0,15676.24
PROD0003,Electronics,Phone,Ram Inc Phone,1215.16,1996.46
PROD0004,Electronics,Headphones,"Bandi, Borah and Bassi Headphones",3713.91,6413.88
PROD0005,Office Supplies,Paper,Mandal-Bhandari Paper,16582.22,19656.12
PROD0006,Furniture,Table,Kunda-Luthra Table,15447.38,21781.93
PROD0007,Electronics,Phone,Chawla-Boase Phone,9270.61,15200.99
PROD0008,Furniture,Table,Sane-Biswas Table,7843.55,13905.44
PROD0009,Office Supplies,Pen,Bora-Grewal Pen,12620.37,14255.09
PROD0010,Electronics,Tablet,Loke-Mane Tablet,9676.47,12668.14
PROD0011,Office Supplies,Notebook,Sastry-Joshi Notebook,17286.79,21650.87
PROD0012,Electronics,Phone,Rout Ltd Phone,12694.89,16848.14
PROD0013,Furniture,Sofa,Dhingra-Sachdev Sofa,11735.47,16160.51
PROD0014,Furniture,Chair,Dhingra-Sanghvi Chair,19379.82,29200.62
PROD0015,Clothing,Jeans,Shah and Sons Jeans,7490.83,8709.11
PROD0016,Furniture,Table,"Keer, Dhawan and Krishnan Table",1918.89,2941.76
PROD0017,Electronics,Laptop,Shah-Dayal Laptop,7174.8,8665.31
PROD0018,Electronics,Phone,"Sharma, Kala and Sha Phone",9808.07,12963.5
PROD0019,Office Supplies,Paper,Bhat Ltd Paper,14690.46,16379.08
PROD0020,Clothing,Jacket,Bal-Rama Jacket,14515.54,18514.39
PROD0021,Electronics,Headphones,Bhatt PLC Headphones,14161.86,21119.83
PROD0022,Clothing,Jeans,Chanda LLC Jeans,11377.36,16844.57
PROD0023,Office Supplies,Paper,"Dixit, Kar and Mandal Paper",5578.96,9383.5
PROD0024,Furniture,Chair,"Madan, Thaman and Viswanathan Chair",10669.63,15092.93
PROD0025,Office Supplies,Printer,Saraf-Guha Printer,9136.17,15012.03
PROD0026,Clothing,Jeans,Maharaj-Bansal Jeans,17670.35,27103.03
PROD0027,Office Supplies,Pen,Ahuja Inc Pen,6481.81,7417.39
PROD0028,Clothing,Jeans,Sampath and Sons Jeans,10528.99,15248.97
PROD0029,Furniture,Sofa,"Basu, Banik and Chandran Sofa",6519.74,10096.68
PROD0030,Electronics,Laptop,Rao-Edwin Laptop,10511.69,12053.5
PROD0031,Furniture,Desk,"Rana, Karpe and Rajagopal Desk",17482.51,21703.76
PROD0032,Clothing,Jeans,Bhasin LLC Jeans,2065.2,3097.2
PROD0033,Clothing,Shoes,Chokshi-Goyal Shoes,10563.85,16806.24
PROD0034,Office Supplies,Notebook,Sampath-Dutta Notebook,7390.44,11264.27
PROD0035,Electronics,Laptop,Saini LLC Laptop,18611.2,23191.73
PROD0036,Clothing,T-Shirt,"Master, Jhaveri and Sankar T-Shirt",9414.38,14566.32
PROD0037,Office Supplies,Paper,Tripathi Group Paper,16458.33,27254.58
PROD0038,Electronics,Tablet,Gandhi Ltd Tablet,10627.51,17152.91
PROD0039,Office Supplies,Notebook,"Bora, Shan and Behl Notebook",18897.61,33494.33
PROD0040,Electronics,Laptop,Dani Ltd Laptop,14530.92,21391.88
PROD0041,Furniture,Desk,Vora-Saraf Desk,10571.22,13469.15
PROD0042,Furniture,Table,Salvi-Deep Table,14947.56,24460.16
PROD0043,Office Supplies,Paper,"Sankar, Bhatti and Datta Paper",14080.75,19698.3
PROD0044,Electronics,Phone,Raman-Gill Phone,15869.99,23566.55
PROD0045,Office Supplies,Pen,Barman and Sons Pen,10724.62,16300.79
PROD0046,Office Supplies,Printer,"Koshy, Sawhney and Chaudhary Printer",11046.62,19859.56
PROD0047,Office Supplies,Paper,Choudhry PLC Paper,15307.27,21451.79
PROD0048,Office Supplies,Pen,Kale Inc Pen,11306.58,14130.39
PROD0049,Office Supplies,Printer,Ganguly LLC Printer,19236.87,27186.5
PROD0050,Clothing,T-Shirt,"Buch, Bhardwaj and Doctor T-Shirt",14553.63,26022.9
PROD0051,Electronics,Phone,Sahota PLC Phone,19868.9,26053.87
PROD0052,Office Supplies,Pen,Chandra LLC Pen,4374.97,5776.86
PROD0053,Office Supplies,Pen,"Chokshi, Sundaram and Sule Pen",1976.31,2810.82
PROD0054,Furniture,Desk,"Lalla, Sunder and Lalla Desk",5373.26,9256.72
PROD0055,Furniture,Desk,Thaker PLC Desk,5199.25,6812.12
PROD0056,Clothing,Jeans,Agrawal-Desai Jeans,14711.89,23634.74
PROD0057,Clothing,Jeans,Madan LLC Jeans,9816.7,16976.18
PROD0058,Electronics,Tablet,Bora-Cherian Tablet,843.69,1405.45
PROD0059,Clothing,T-Shirt,"Walia, Yogi and Krishnan T-Shirt",15624.43,27269.47
PROD0060,Office Supplies,Printer,Kothari-Kapoor Printer,17607.87,24721.68
PROD0061,Electronics,Phone,Choudhary PLC Phone,14978.81,25383.61
PROD0062,Electronics,Headphones,Venkataraman-Shenoy Headphones,1177.15,1726.96
PROD0063,Office Supplies,Pen,Subramanian PLC Pen,6603.95,10489.97
PROD0064,Furniture,Chair,Wason-Venkatesh Chair,13505.34,24284.72
PROD0065,Clothing,T-Shirt,Lall-Rajan T-Shirt,4519.5,5888.22
PROD0066,Clothing,Jeans,Taneja Group Jeans,2730.56,3161.39
PROD0067,Electronics,Headphones,Choudhry-Hegde Headphones,5324.9,7342.87
PROD0068,Clothing,Jeans,Bahl-Kara Jeans,15264.46,21929.62
PROD0069,Furniture,Table,Golla Group Table,7966.84,11949.71
PROD0070,Furniture,Desk,"Soni, Sahni and Viswanathan Desk",1525.72,2507.89
PROD0071,Office Supplies,Notebook,Lal-Kuruvilla Notebook,2339.34,3250.53
PROD0072,Office Supplies,Printer,Kapur Group Printer,3890.75,5218.15
PROD0073,Electronics,Tablet,Dyal Inc Tablet,3468.18,4664.01
PROD0074,Clothing,Jeans,"Golla, Sahni and Kapoor Jeans",8865.22,15487.09
PROD0075,Furniture,Desk,Zachariah-Badami Desk,13738.65,16612.69
PROD0076,Electronics,Laptop,Dave-Upadhyay Laptop,14817.67,18820.42
PROD0077,Furniture,Sofa,Chanda LLC Sofa,373.29,591.91
PROD0078,Electronics,Tablet,Sathe-Chaudhuri Tablet,9056.23,10106.06
PROD0079,Furniture,Desk,Soni Group Desk,4155.65,6093.37
PROD0080,Office Supplies,Paper,Thakkar LLC Paper,12498.54,22430.02
PROD0081,Electronics,Headphones,Sangha-Jaggi Headphones,11701.8,18307.11
PROD0082,Electronics,Tablet,Sandhu LLC Tablet,3489.36,4532.01
PROD0083,Office Supplies,Notebook,"Vyas, Bala and Srinivas Notebook",9352.72,16475.97
PROD0084,Electronics,Headphones,"Sur, Rajan and Yadav Headphones",13241.42,20710.73
PROD0085,Office Supplies,Notebook,Kannan Ltd Notebook,479.66,818.87
PROD0086,Clothing,Jeans,Sehgal LLC Jeans,19597.88,28534.09
PROD0087,Electronics,Tablet,Savant-Basu Tablet,9744.78,14792.33
PROD0088,Electronics,Phone,"Varma, Sehgal and Char Phone",4057.62,7209.39
PROD0089,Electronics,Laptop,Bandi Group Laptop,5023.1,7386.92
PROD0090,Office Supplies,Paper,"Ravi, Mahajan and Agarwal Paper",7928.66,9592.91
PROD0091,Office Supplies,Printer,Thakkar Inc Printer,7172.02,9407.02
PROD0092,Office Supplies,Notebook,Chhabra PLC Notebook,12553.27,21529.79
PROD0093,Electronics,Tablet,Kaur and Sons Tablet,4589.1,6145.95
PROD0094,Clothing,Jeans,"Gokhale, Srinivasan and De Jeans",1847.12,2526.02
PROD0095,Furniture,Table,"Bhagat, Vohra and Lanka Table",4883.18,5893.63
PROD0096,Office Supplies,Printer,Kaur-Shanker Printer,9038.47,10776.03
PROD0097,Furniture,Desk,Sundaram Inc Desk,17265.49,22726.55
PROD0098,Furniture,Table,"Kale, Gaba and Vaidya Table",19914.15,35507.8
PROD0099,Furniture,Desk,Manda Ltd Desk,6418.17,9563.96
PROD0100,Electronics,Phone,Sahota Ltd Phone,6420.19,11015.42
PROD0101,Electronics,Tablet,Balasubramanian PLC Tablet,17614.62,24481.29
PROD0102,Clothing,Jacket,Bassi PLC Jacket,8915.79,15635.07
PROD0103,Office Supplies,Pen,Dhawan and Sons Pen,15604.25,18330.94
